Turismiobjekti nimi,Turismiobjekti kirjeldus,Kategooria,Tüüp,Teemaviited,Turismiobjekti koduleht,Turismiobjektii e-post,Turismiobjekti tel nr,Turismiobjekti aadress,Broneerimise link,Kvaliteedimärgised,Omadused ja üldine varustus,Tärnid,facebook,instagram,tiktok,X,Ettevõtte registrikood,Ettevõtte nimi,Ettevõtte aadress,Ettevõtte telefon,Ettevõtte e-post,Ettevõtte koduleht,Piirkond,Turismipiirkonnad ja kultuuriruumid,Saared,Hooaeg,Hooaja periood,Lahtiolekuaeg,Avatud ajad,Juurdepääsupiirangud,Tubade arv kokku,Voodikohad,Voodikohtade arv kõrghooajal,Voodikohtade arv madalhooajal,Haagissuvila kohtade arv,Telkimiskohtade arv
Jägala juga Nature Villa,"Jägala Juga Nature Resort on privaatne loodusvilla, mis asub vaid 20 minuti kaugusel Tallinnast. Siin koged linnakärast eraldatust ilma pikema sõiduta. Panoraamaknast avaneb lummav vaade jõele ning luksuslikud mugavused loovad ideaalse keskkonna unustamatuks puhkuseks.
Meie puuküttega saunas viivad saunarituaale läbi kogenud saunameistrid. Rituaalid sobivad nii esmakülalisele kui ka kogenud saunasõbrale — soe leil ja värske õhk teevad keha kergeks ning toovad sügava, kosutava une.
Majutuse ja saunakogemuse saab broneerida koos või eraldi — olenevalt sellest, kas otsid lühikest puhkust, vaikset tööpausi või aeglast nädalalõppu.",Majutus,Elamusmajutus,"Peresõbralik,Spaad",https://et.jagalajuga.com/nature-villas,info@jagalakuga.com,+372 5837 7776,"Lepiku, Jägala küla, Jõelähtme vald, Harju maakond",https://et.jagalajuga.com/nature-villas,,"Allergikute toad,Konditsioneer,Külmutuskapp,Parkimine tasuta,Peretoad,Puhkeala/piknikuplats,Saun,WIFI",,https://www.facebook.com/people/J%C3%A4gala-Juga-Nature-Resort/100076285147567/,https://www.instagram.com/jagala_juga/,,,16369964.0,Jägala Juga OÜ,"Linnuka tee 1, Liivamäe küla, Jõelähtme vald, Harju maakond",+372 5837 7776,info@jagalakuga.com,,Põhja-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,1.0,1.0,0.0,0.0,0.0,0.0
Jakobson House külaliskorterid Raplas,"Võimalus valida kaheksa hubase korteri vahel, millest enamik on 30–35 m² suurused stuudiokorterid. Sisenemine ja lahkumine on kontaktivaba ja lihtne. Sissepääs alates alates kell 16.00, lahkumine kuni kell 11.00.
Kõigis korterites on kaasaegsed mugavused: lameekraaniga televiisor, kiire ja stabiilne Wi-Fi, pesumasin ning põrandaküte, täisvarustuses köök, pliit, külmik, nõudepesumasin, kõik vajalikud toidunõud, et tunneksid end nagu kodus. Üks korteritest on privaatse saunaga.
Tasuta parkimine maja kõrval, maja taga on jalgrattahoidja ja suvine istumisala.",Majutus,Külaliskorter,,https://jakobson.house,jakobsonhouse@gmail.com,+372 5667 6541,"Viljandi mnt 83, Rapla linn, Rapla vald, Rapla maakond",https://jakobson.house/kulaliskorterid/,,"Külmutuskapp,Parkimine tasuta,Pesumasin,WIFI",,,,,,10862754.0,OÜ Jakobson,"Jõeääre, Tuti küla, Rapla vald, Rapla maakond",+372 5667 6541,jakobsonhouse@gmail.com,,Põhja-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,,,,8.0,16.0,0.0,0.0,0.0,0.0
Jäneda Aidahotell,"Jäneda Aidahotell avati 2023. aasta sügisel endises Jäneda Mõisa viljaaidas. Hotellis on 12 kahekohalist tuba, mille hubane sisekujundus sulandub ajaloolise atmosfääriga. Iga tuba pakub privaatset vannituba ja kaasaegseid mugavusi. Hinnas sisaldub ka hommikusöök.Lisaks majutusele on hotellis sobiva suurusega konverentsiruum, mis on ideaalne koolitusteks või konverentsideks.  Ümbruskonnas saab külastada Jäneda muuseumi, lõõgastuskeskust ja ajaloolist mõisa ja parki. Kohalikke maitsed ja värskest toorainest valmistatud road leiad Musta Täku Tallist.Tule Jänedale loodust ja ajalugu nautima!",Majutus,Hotell,EUROPARC,https://janedaturism.ee/teenused-ja-hinnad/majutus/,info@janedaturism.ee,+372 5054495,"Jäneda loss, Jäneda küla, Tapa vald, Lääne-Viru maakond",https://www.booking.com/hotel/ee/janeda-aidahotell.et.html?aid=318615&label=New_Estonian_ET_19114763065-ZsrWVfhmP%2Aacs%2AL5QSLRJQS217288670323%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg&sid=c49c76d8f8624220fc5160783bc2637a&dest_id=-2621945&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1735824612&srpvid=4f245eefc5da0c7c&type=total&ucfs=1&,,"Parkimine tasuta,Seminariruum,WC,WIFI",,,,,,10656167.0,Osaühing Jäneda Mõis,"Jäneda Mõis, Jäneda küla, Tapa vald, Lääne-Viru maakond",,info@janeda.ee,http://www.janedaturism.ee,Põhja-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ööpäevaringselt,00:00-24:00,,12.0,24.0,0.0,0.0,0.0,0.0
Jannseni Majutus,"Oleme väike ning sõbralik majutusasutus, mis pakub soodsa hinnaga ööbimispaika neile linnakülalistele, kes peavad lugu koduselt hubasest ja privaatsest majutusest eramajas. Meil on 4 magamistuba 8-le inimesele: ühekohaline, 2 kahekohalist ja peretuba kolmele. Majutuses on ühine puhketuba, 2 tualettruumi, duširuum ja rõdu. Külaliste kasutuses on kohapeal kohvi-tee valmistamise võimalus, mikroahi, külmkapp, nõud. Sõidukeid on võimalik parkida sisehoovis. Meie juurest jõuate 5 minutiga teatrisse, kontserdimajja, Vallikääru aasale või kesklinna. ",Majutus,Kodumajutus,,,ingatshipurina@gmail.com,+372 55612405,"J. V. Jannseni tn 13/1, Pärnu linn, Pärnu linn, Pärnu maakond",https://www.booking.com/Share-W2mAPR,,"Külmutuskapp,Parkimine tasuta,WC,WIFI",,https://www.facebook.com/Jannseni-Majutus-1500300453617538,,,,11825726.0,Silja Tšipurina Jannseni Majutus FIE,"13 4, Pärnu, Pärnu maakond",+372 55612405,ingatshipurina@gmail.com,,Lääne-Eesti,,,Hooajaliselt,1 Juuli - 31 Juuli,Ööpäevaringselt,00:00-24:00,,4.0,8.0,8.0,8.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Juuni - 31 August,Ööpäevaringselt,00:00-24:00,,4.0,8.0,8.0,8.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,1 September - 31 Mai,Ööpäevaringselt,00:00-24:00,,4.0,8.0,8.0,8.0,0.0,0.0
Järva-Jaani kämping,"Järva-Jaani Vanatehnika varjupaigas asub nüüdsest kaks kolmekohalist (2+1) kämpingumajakest, kus saab väsinud rändaja rahulikult öö mööda saata või lihtsalt aega veeta. Kämpingu alal on lisaks kahele kämpingumajakesele ka kaminaauto, valgustatud kemmerg, lõkkease ja grillimistarvikud. Kämpingud on varustatud elektriga. Soovi korral on lisatasu eest võimalik juurde tellida voodipesu (5 € maja kohta).Lisaks vanatehnika varjupaigale leidub ümbruskonnas mitmeid muuseume, discgolfi rada, lähedal on ujutav Järva-Jaani tehisjärv, mõisad ja matkarada.Tulge Järva-Jaani!",Majutus,"Puhkeküla, karavanid",,,tehnokunn@gmail.com,+372 5172485,"Lai tn 7, Järva-Jaani alev, Järva vald, Järva maakond",,,"Kuivkäimla,Parkimine tasuta,Puhkeala/piknikuplats",,https://www.facebook.com/jjaanikamping,,,,12672070.0,Tehnokunn OÜ,"Lai tänav 7, Järva-Jaani alev, Järva vald, Järva maakond",+372 5172485,tehnokunn@gmail.com,,Põhja-Eesti,,,Hooajaliselt,1 Mai - 1 Oktoober,Igapäevaselt sama,08:00-21:00,,2.0,6.0,0.0,0.0,0.0,0.0
Järvamaa Jahindusklubi hostel,"Paide linnas, vaikses eramajade rajoonis asub väike hostel. See hostel on väga privaatne ja kodune. Majutab korraga vaid neli rändurit, kuid nende käsutusse annab terve maja, sooja sauna ja puiduse köögiga.Köögis on olemas kõik vajalik, et valmistada hommikusöök ise. Puhkeruumis on võimalus üles seada lauatennise- või koroonalaud. Paide ainus ujumiskoht Paide tehisjärv on 200 meetri kaugusel. Kui kõht läheb õhtul tühjaks, siis ümbruskonnas on mitu head söögikohta. Järvamaa jahimehed eksponeerivad hostelis ka oma jahitrofeesid.",Majutus,Hostel,,http://jklubi.ee/hostel/,jklubi@jklubi.ee,+372 53486408,"Parkali tn 28a, Paide linn, Paide linn, Järva maakond",https://www.booking.com/hotel/ee/jarva-jahindusklubi-hostel.en-gb.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaEKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AuqPtcYGwAIB0gIkMzI3M2I0MDItN2Y0My00MmU3LWI5NTctYzQ2YWI3MzgyMTVk2AIB4AIB&sid=8e2e9f240d94ef8cfb8d3fa7e9f99e06&age=0&all_sr_blocks=260427001_329644557_2_0_0&checkin=2025-09-25&checkout=2025-09-28&dest_id=2089&dest_type=region&dist=0&group_adults=1&group_children=1&hapos=18&highlighted_blocks=260427001_329644557_2_0_0&hpos=18&matching_block_id=260427001_329644557_2_0_0&no_rooms=1&req_adults=1&req_age=0&req_children=1&room1=A%2C0&sb_price_type=total&sr_order=popularity&sr_pri_blocks=260427001_329644557_2_0_0__18000&srepoch=1758283887&srpvid=28165577dcf0042f&type=total&ucfs=1&,,"Külmutuskapp,Parkimine tasuta,Seminariruum,WC,WIFI",,,,,,80103855.0,Järvamaa Jahindusklubi MTÜ,"Parkali tänav 28a, Paide linn, Paide linn, Järva maakond",+372 53486408,jklubi@jklubi.ee,http://jklubi.ee,Põhja-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,2.0,4.0,0.0,0.0,0.0,0.0
Järve Maja Väätsa järve kaldal,"Järve Maja asub Väätsa paisjärve kaldal. Privaatne majake üüritakse välja ühele seltskonnale, sest maja mahutab mõnusalt 4 üksteist tundvat täiskasvanut või 4-5 liikmelise perekonna. Majas on üks kaheinimese voodi ning lahtikäiv diivan, köök ja hügieeniruumid. Maja ees on suur terrass.Lisaks on võimalik eraldi broneerida kümblustünni või kõrvalhoones asuvat leilisauna.Maja asub Väätsa Weikpargi territooriumil ja peale majutuse on tegevust küllaga tervele perele.",Majutus,Puhkemaja,,https://vaatsaweikpark.ee/,vaatsaweikpark@gmail.com,+372 55535715,"Väätsa paisjärv, Väätsa alevik, Türi vald, Järva maakond",,,"Haagissuvila/karavani parkla,Külmutuskapp,Parkimine tasuta,Pesumasin,Puhkeala/piknikuplats,Seminariruum,WC,WIFI",,,https://www.instagram.com/weikpark/,,,80227678.0,Väätsa kultuuri- ja spordiklubi SID,"Kooli tänav 1, Väätsa alevik, Türi vald, Järva maakond",+372 55535715,vaatsaweikpark@gmail.com,,Põhja-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,0.0,0.0,0.0,0.0,0.0,0.0
Järve Turismitalu kämping,"Mändjala-Järve supelranna vahetus läheduses asuv Järve turismitalu on tegutsenud juba aastaid. Ühe võimalusena pakutakse aga nüüd puhkajatele majast sajakonna meetri kaugusel asuvaid kämpingumajakesi. Kõrgete mändide varjus asub viis kuni neljakohalist kämpingut. Piisav kaugus majakeste vahel tagab seltskondadele privaatse olemise. Majakeste juurde on toodud külmaveekraanid ja oma grillimisalus. Kolmes uuemas majas on ka külmkapp ja kööginurk. Ka auto saab parkida päris kämpingu kõrvale. Lastele olemas batuut, kiiged, puuskulptuuride park ja vaatamiseks mitmeid suuri ja väikesi koduloomi. ",Majutus,"Puhkeküla, karavanid",,,info@jarvetalu.ee,+372 5016853,"Järve, Järve küla, Saaremaa vald, Saare maakond",,,"Haagissuvila/karavani parkla,Kuivkäimla,Külmutuskapp,Parkimine tasuta,Puhkeala/piknikuplats,Saun,WC,WIFI",,https://www.facebook.com/jarveturismitalu,,,,10016404.0,osaühing Suvemaja,"Järve talu, Järve küla, Saaremaa vald, Saare maakond",+372 5209181,info@jarvetalu.ee,http://www.jarvetalu.ee,Lääne-Eesti,,Saaremaa,Hooajaliselt,1 Juuni - 31 August,Igapäevaselt sama,08:00-22:00,,5.0,16.0,16.0,0.0,2.0,0.0
Järve turismitalu puhkemajad,"Kaks käsitsi raiutud palkmaja on sobilikud puhkamiseks peredele. Alumisel korrusel on Sinu käsutuses kaminaruum-elutuba, kööginurk, tualettruumid ja puuküttega saun, magamisruumid on teisel korrusel. Maja ees on terrass.Lisaks kaks uut ühekorruselist kahe magamistoaga puhkemaja. Majades köök, tv, dušš ja wc.Ujumisrand ja luited ootavad Sind ainult 350 meetri kaugusel. Laste jaoks on batuut ja kiiged, puukujude park,  saab laenata õhupüssi, vibu ja jalgrattaid ning vaadata šoti mägiveiseid, samuti mitmeid väikeloomi (minikitsed, küülikud, linnud).",Majutus,Puhkemaja,Peresõbralik,https://www.jarvetalu.ee,info@jarvetalu.ee,+372 501 6853,"Järve, Järve küla, Saaremaa vald, Saare maakond",,,"Haagissuvila/karavani parkla,Külmutuskapp,Parkimine tasuta,Puhkeala/piknikuplats,Saun,WC,WIFI",,,,,,10016404.0,osaühing Suvemaja,"Järve talu, Järve küla, Saaremaa vald, Saare maakond",+372 5209181,info@jarvetalu.ee,http://www.jarvetalu.ee,Lääne-Eesti,,Saaremaa,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,6.0,26.0,0.0,0.0,2.0,0.0
Järveääre Puhkekeskus,"Järveääre Puhkekeskus pakub majutust Hiiumaal Jõeranna külas ja asub Veskilaisi ääres. Lais on madal järv, keskmiselt on selle sügavus alla 1 meetri, kuid kevadeti liigub siin väga palju kala. Laisist saab püüda näiteks särge, säinast, haugi jne.Koht on üsnagi eraldatud, seega on tagatud rahulik puhkus. Hoovi peal on olemas mänguväljak, grillimisplats ning muruväljak, kus saab niisama päikest võtta, sportmänge või pentangi mängida vms. Tubadest on vaade loodusele ja metsamajakestest vaade otse kaunile laisile.",Majutus,Puhkemaja,,https://www.jarveaare.ee/,jarveaare@jarveaare.ee,+372 512 2275,"Järveääre, Jõeranna küla, Hiiumaa vald, Hiiu maakond",,,"Kuivkäimla,Külmutuskapp,Parkimine tasuta,Puhkeala/piknikuplats,WC,WIFI",,https://www.facebook.com/Jarveaare/,,,,10966991.0,Järveääre OÜ,"Jõeranna küla, Hiiumaa vald, Hiiu maakond",,jarveaare@jarveaare.ee,,Lääne-Eesti,,Hiiumaa,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,7.0,17.0,0.0,0.0,0.0,0.0
Järvenukka puhkemaja,"Järvenukka puhkemaja pakub majutust kahes korrastatud vanas palkhoones metsas, Ähijärve põhjakaldal.
Majades on kööginurk koos lauanõudega. Õues lõkkekoht, grillimisplats, järvel paat, läheduses Karula rahvuspargi matkarajad.Koht sobib kalameestele! Sügisel marja-ja seenemetsad.
Kasulik teada: kaugus Võrust 51 km, Antslast 15 km.",Majutus,Puhkemaja,,,harrinuka@gmail.com,+372 5232066,"Järvenuka, Mähkli küla, Antsla vald, Võru maakond",https://bit.ly/3FHI4YS,,"Külmutuskapp,Parkimine tasuta,Puhkeala/piknikuplats,WC",,,,,,10271546.0,Ä Järve OÜ,"Järvenukka, Mähkli küla, Antsla vald, Võru maakond",+372 5076293,harrinuka@gmail.com,,Lõuna-Eesti,Vana-Võromaa,,Hooajaliselt,8 Mai - 20 September,Ainult ettetellimisel,,,3.0,10.0,10.0,0.0,0.0,0.0
Jausa Metsamaja,Tule ja veeda öö maagilises metsamajakeses. Maja sobib sulle ideaalselt kui soovid võtta aja maha ja põgeneda kiirest linnaelust nautides vaid rahustavat linnulaulu.Majas on olemas kõik vajalik perfektseks puhkuseks. Elekter valgustuseks ja tarvikute laadimiseks tuleb katusel asuvast päikesepaneelist ja ümbritseva metsa tõttu on maja alati meeldival temperatuuril. Puhkemaja kõrval on välikäimla ja välidušš.Külalistele on kasutamiseks maja ja seda ümbritsev mets. Lisatasu eest pakume tünnisauna ja SUP-laua renti.,Majutus,Puhkemaja,,,kenertkraavik@gmail.com,+372 56655085,"Orumetsa, Jausa küla, Hiiumaa vald, Hiiu maakond",https://airbnb.com/h/jausatinyhouse,,"Kuivkäimla,Parkimine tasuta,Puhkeala/piknikuplats",,https://www.facebook.com/Jausametsamaja/,,,,16408536.0,OÜ Napid Papid,"JAARNA, Jausa küla, Hiiumaa vald, Hiiu maakond",,kenertkraavik@gmail.com,,Lääne-Eesti,,Hiiumaa,Hooajaliselt,1 Mai - 1 Oktoober,Ainult ettetellimisel,,,1.0,3.0,0.0,0.0,0.0,0.0
Jennima-Lau puhkemaja,"Jennima-Lau puhkemaja ootab sind vaikses ja looduskaunis paigas, eemal suurtest maanteedest. Majas on köök, elutuba lahtikäiva diivaniga (magamiseks kahele), söögilaud neljale ja lai voodi magamistoas. Pimendavad rulood tagavad mõnusa une. Päikeseline terrass kutsub hommikukohvi nautima, parkida saad maja kõrval või hoovis. Olemas ka grillimisvõimalus.
Sinu päralt on kogu maja ja privaatne õu, kus on ruumi mängudeks, võrkkiiges lesimiseks või metsateedel jalutamiseks. Hooajal saad korjata marju ja seeni, kõrvalkarjamaal uudistada lihaveiseid. Peenrakastidest leiab värskeid salateid ja maitsetaimi, majas on raamatud ning laua- ja õuemängud. Soovi korral saad telkida ning kaasa võtta ka oma lemmiklooma.
Lühikese jalutuskäigu kaugusel on avatud 24/7 talupood mahetoodetega. Samuti asub lähedal Kloostrimetsa Siidrimaja, kus saad näha, kuidas valmivad kohalikest maheõuntest siidrid, ja neid kohapeal ka maitsta.",Majutus,Puhkemaja,"Lemmikloomasõbralik,Telkimisplatsid",https://kloostrimetsa.eu/puhkemaja,info@kloostrimetsa.eu,+372 5667 1118,"Vahtra, Audevälja küla, Lääne-Harju vald, Harju maakond",https://www.airbnb.com.ee/rooms/907264134851099610?source_impression_id=p3_1755194074_P3uM1Ytkz3infJw9,,"Külmutuskapp,Parkimine tasuta,Puhkeala/piknikuplats",,,,,,12425259.0,Kloostrimetsa Fideikomiss UÜ,"KORJUSE-VANAPERE, Määra küla, Lääne-Harju vald, Harju maakond",,info@kloostrimetsa.eu,,Põhja-Eesti,,,Hooajaliselt,1 Mai - 14 September,Ainult ettetellimisel,,"""Puudub viidastus või tähistus""",1.0,2.0,0.0,0.0,0.0,0.0
Jõeääre puhkekeskus,"Jõeääre puhkekeskuses on kolm puhkemaja ja peamaja. Puhkekeskus sobib hästi nii paaridele romantiliseks puhkuseks looduses kui ka suurematele seltskondadele ruumide rendiks juubelite, pulmade, meeskonnakoolituse ja muude ürituste korraldamiseks. Igas puhkemajas on saun.
Kokku on meil 28 majutuskohta. Suvel saab lisaks kasutada telkimisplatsi – selliselt on seltskonna suurus kokkuleppe küsimus – küsi pakkumist!
Peamajas korraldame toidukoolitusi ja meeskonnaüritusi ning pakume ruumide renti päevasteks seminarideks. Lisaks on hoovis katusealune suveköök, kus on samuti võimalik üritusi läbi viia.",Majutus,Puhkemaja,Telkimisplatsid,https://looduspuhkus.ee/,info@looduspuhkus.ee,+372 5128075,"Jõeääre, Langa küla, Lääne-Harju vald, Harju maakond",,,"Konditsioneer,Külmutuskapp,Parkimine tasuta,Puhkeala/piknikuplats,Saun,Seminariruum,WC,WIFI",,https://www.facebook.com/joeaare,https://www.instagram.com/joeaare_puhkekeskus/,,,16124833.0,Ajarajaja OÜ,"Tööstuse tänav 29 5, Põhja-Tallinna linnaosa, Tallinn, Harju maakond",+372 56575766,martti.kuldma@gmail.com,,Põhja-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,0.0,0.0,28.0,28.0,0.0,0.0
Jõekääru kämping,"Jõekääru kämpngutes on kahe,- kolme,- nelja,-viie,- ja kuuekohalised kämpingmajad ning telkimis ja autokarvani ala asub looduslikult kaunis kohas, kümne minuti autosõidu kaugusel Pärnu kesklinnast ning ligipääsetav linnaliini bussiga nr. 40.
Kämping on loodud eelkõige peredele ja aktiivseks puhkuseks ning erinevate kokkutulekute korraldamiseks. Olemas on võrkpalli- ja jalgpalliväljak, väliköök, lava ja suur katusealune. Jõekäärus on saun 20-le inimesele, võimalik rentida ka kümblustünni.Seiklejatele on pakkuda valik tegevusi: kiiking, kanuu laenutus, kanuumatk, vibulaskmine, värvikuulimäng.",Majutus,"Puhkeküla, karavanid",Telkimisplatsid,https://joekaaru.ee/,info@joekaaru.ee,+372 502 2455,"Jõekääru/20, Nurme küla, Tori vald, Pärnu maakond",,,"Haagissuvila/karavani parkla,Külmutuskapp,Parkimine tasuline,Parkimine tasuta,Pesumasin,Puhkeala/piknikuplats,WC,WIFI",,https://www.facebook.com/profile.php?id=100064711057227,https://www.instagram.com/joekaarukamping/,,,11060672.0,osaühing JÕEKÄÄRU KÄMPING,"Nurme küla, Tori vald, Pärnu maakond",,info@joekaaru.ee,,Lääne-Eesti,,,Hooajaliselt,15 Mai - 15 Oktoober,Ööpäevaringselt,00:00-24:00,,0.0,80.0,80.0,0.0,0.0,30.0
Jõekääru Puhkekeskus,"Jõekääru Puhkekeskus kauni Andineeme liivaranna läheduses on suurepärane koht nii perega puhkamiseks kui ka erinevate firmaürituste ja kokkutulekute läbiviimiseks. Kahes lähestikku olevas majutuskompleksis asuvad peoruumid, kummaski kompleksis 7 neljakohalist majakest ja leilisaun ühes vihtlemise ja kümblustünniga. Pakume võimalust forelli püüda ja püütud kala meie kalameistri abiga kohapeal suitsutada või siis sisse soolata hilisemaks nautimiseks kodus.",Majutus,Puhkemaja,,https://perepuhkus.ee/,info@perepuhkus.ee,+372 503 8148,"Jõekääru, Sõitme küla, Kuusalu vald, Harju maakond",,,"Gruppide toitlustus,Laste mängutuba,Parkimine tasuta,Puhkeala/piknikuplats,Saun,WC,WIFI",,https://www.facebook.com/JoekaaruPuhkekeskus/,https://www.instagram.com/joekaaru_perepuhkus/,,,10963774.0,OÜ SILDEX,"Jõekääru talu, Sõitme küla, Kuusalu vald, Harju maakond",,sildex@perepuhkus.ee,http://www.perepuhkus.ee,Põhja-Eesti,Lahemaa rahvuspark,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,15.0,60.0,0.0,0.0,0.0,0.0
Jõekääru Puhkekeskus Rannapungerjal,"Jõekääru Puhkekeskus paikneb ainulaadsel maastikul, kus Peipsi järv kohtub idüllilise Rannapungerja jõega luues ideaalse peatuspaiga nii seiklushimulistele ränduritele kui ka neile, kes ihkavad rahu ja vaikust.
Külastajatele on saadaval 9 kämpingumaja ja 9 jurtat, mis mahutavad vastavalt kuni 5 ja 4 inimest. Konditsioneeriga majad on varustatud kööginurga, külmiku, pliidi, privaatse duširuumi ja WC-ga ning terrassiga, kust avaneb imeilus vaade loodusele. Võimalus rentida sauna ja paati Peipsi järvel sõiduks. Karavani parkimisalal puuduvad elektri-, vee- ja kanalisatsiooni ühendused.
Ootame teid!",Majutus,"Puhkeküla, karavanid","Lemmikloomasõbralik,Peresõbralik,Telkimisplatsid",https://joepuhkekeskus.ee/,info@joepuhkekeskus.ee,+372 521 3754,"Sadama tee 6, Rannapungerja küla, Alutaguse vald, Ida-Viru maakond",https://joepuhkekeskus.ee/majutus/,,"Haagissuvila/karavani parkla,Konditsioneer,Külmutuskapp,Parkimine tasuline,Peretoad,Puhkeala/piknikuplats,Saun",,https://www.facebook.com/profile.php?id=61560681737916,https://www.instagram.com/joekaarupuhkekeskus/,,,10020438.0,Osaühing T.R. TAMME AUTO,"Kastani tn 2b, Tammiku alevik, Jõhvi vald, Ida-Viru maakond",+372 337 0384,info@tammeauto.ee,https://joepuhkekeskus.ee/,Põhja-Eesti,,,Hooajaliselt,1 Mai - 1 Oktoober,Nädalakalender,"E-L: 08:00-21:00,P: 08:00-20:00",,9.0,36.0,45.0,36.0,0.0,0.0
Jõeniidu puhkemaja,"Jõeniidu puhkemaja asub Haanja keskusest 3 km kaugusel Trolla külas. Puhkemajasid on kaks - sobides väikesele seltskonnale või perele, samuti ka üksirändajale - kõigile kes tahavad nautida puhkust rahulikus looduskaunis kohas.Meie juures on võimalik mõnuleda saunas, karastada end tiigivees, istuda lõkkekuma paistel või nautida vaikset maaelu. Lähedale jäävad mitmed toredad matkarajad ning vaatamisväärsused ja Vaskna järve ujumiskoht 400m kaugusele.Koduloomad: kitsed ja kassid.Hea teada: Perenaine valmistab maitsvat kitsejuustu ja koduleiba. Soovi korral saab neid ette tellida.",Majutus,Puhkemaja,,https://www.joeniidutalu.eu,joeniidutalu@gmail.com,+372 5304 7333,"Jõeniidu/1, Trolla küla, Rõuge vald, Võru maakond",https://www.booking.com/hotel/ee/joeniidu-holiday-house.et.html,,"Kuivkäimla,Külmutuskapp,Parkimine tasuta,Puhkeala/piknikuplats,WC",,https://www.facebook.com/J%C3%B5eniidu-Puhkemaja-176950745663972/,https://www.instagram.com/joeniidutalu/,,,10125352.0,Jõeniidu-Tsälba talu,"Tsälba talu, Trolla küla, Rõuge vald, Võru maakond",+372 5264617,joeniidutalu@gmail.com,http://joeniidu.edicy.co/et,Lõuna-Eesti,Vana-Võromaa,,Hooajaliselt,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,5.0,0.0,15.0,15.0,0.0,3.0
Jõeranna Puhkemajad,"Jõeranna puhkemajad asuvad Hiiumaal ürgse looduse rüpes ja on just täpselt see paik, kus võtta aeg maha ning taastada oma energiavarusid.Jõeranna puhkemajades ootavad teid puhtad rannaäärsed metsatukad, Eesti parimad surfilained ja osoonirikas õhk.Siin on suurepärased võimalused perepuhkuseks või nädalalõpu väljasõiduks väikesele sõpruskonnale.See on ideaalne maanurk kalastus-, jahindus- või ornitoloogiahuvilistele. Samuti koht, kus otsida vaheldust linnakärale, teha süvenemist nõudvat mõttetööd või ammutada loomingulist inspiratsiooni.",Majutus,Puhkemaja,,https://joeranna.com/,info@joeranna.com,+372 517 8636,"Vana-Männiku, Paope küla, Hiiumaa vald, Hiiu maakond",https://www.booking.com/hotel/ee/joeranna-lodge,,"Külmutuskapp,Parkimine tasuta,WIFI",,,,,,10859261.0,Jõeranna puhkemajad OÜ,"Sinilinnu, Hausma küla, Hiiumaa vald, Hiiu maakond",+372 517 8636,info@joeranna.com,,Lääne-Eesti,,Hiiumaa,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,7.0,18.0,0.0,0.0,0.0,0.0
